,Heading,Article,Date
721,Judge Refuses To Second-Guess Family Separations At Border,The American Civil Liberties Union argued that the administration was splitting families over dubious allegations and minor transgressions including traffic offenses.,2020-01-14
722,Teen Missing For Weeks Found Dead Inside Chimney,"Harley Dilly, 14, was last seen alive walking to school in Ohio.",2020-01-14
723,U.S. Supreme Court Weighs 'Bridgegate' Scandal Convictions,"Justices seemed skeptical about the criminal prosecutions of Anne Kelley and Bill Baroni, who were accused of engineering lane closures on the George Washington Bridge in 2013.",2020-01-14
724,"Jeff Bezos Scorned For $690,000 Donation To Australia Fire Relief","Critics felt that the Amazon CEO, whose personal net worth is estimated to be more than $110 billion, could have contributed more.",2020-01-13
725,"Storms Sweep The South And Midwest, Killing At Least 11 People","High winds, tornadoes and unrelenting rain hit areas from Iowa to Alabama.",2020-01-12
726,Megan Rapinoe Reacts To Protest Ban At 2020 Olympics: 'We Will Not Be Silenced',"There's ""so little being done about what we are protesting about,"" the soccer star wrote in an Instagram story.",2020-01-11
727,"Powerful Nationwide Storms Take Out Power, Cancel Flights And Leave 9 Dead",More than half an inch of ice is expected to coat some roads across the U.S. this weekend.,2020-01-11
728,Machete Attacker Closes In On Fallen Cop In Terrifying Moment (Disturbing Video),The heart-pounding scene unfolded on the streets of Hollywood in November.,2020-01-10
729,Mother Of Atatiana Jefferson Found Dead In Texas Home,Yolanda Carr died in the same Fort Worth home where police fatally shot her 28-year-old daughter last year.,2020-01-09
730,Court Reverses $35 Million Verdict Against Jehovah's Witnesses,The Montana case is one of dozens that have been filed nationwide over the past decade saying Jehovah’s Witnesses mismanaged or covered up the sexual abuse of children.,2020-01-09
731,"Woman Arrested, Accused Of Conspiring With QAnon Followers To Kidnap Son","Cynthia Abcug got caught up in the conspiracy theory and stopped going to therapy, her daughter told authorities in Colorado.",2020-01-08
732,"Silvio Horta, Creator Of 'Ugly Betty,' Found Dead At 45",The creator of the popular ABC series was reportedly found dead in a Miami motel room.,2020-01-08
733,6.4 Quake Strikes Puerto Rico Amid Heavy Seismic Activity,"The quake was followed by an aftershock measuring 6.0, and at least eight people were injured. One of Puerto Rico's main power plants has been damaged.",2020-01-07
734,Graphic Epstein Autopsy Photos Show Bloodied Neck And Jail Cell Noose,A former New York City medical examiner who reviewed the photos obtained by '60 Minutes' argues that it doesn't add up to suicide.,2020-01-06
735,Harvey Weinstein's Reckoning: Trial Looms Two Years After #MeToo Wave,Jury selection is scheduled to start this week in New York City.,2020-01-06
736,"5 Dead, Dozens Injured In Multi-Vehicle Crash On Pennsylvania Turnpike","All lanes of traffic were shut down following the collision involving tractor-trailers, a tour bus and passenger vehicles, an official said.",2020-01-05
737,Santa Anita Racetrack Sees Its First Horse Death Of The New Year,Golden Birthday was the 39th horse to die at the embattled California park in a little more than a year.,2020-01-02
738,West Virginia Corrections Dept. Will Institute Holocaust Training After Nazi Salute Photo,A spokesman said the Anti-Defamation League will aid in Holocaust-related training after cadets were fired for making a Nazi salute.,2020-01-02
739,"Nick Gordon, Bobbi Kristina Brown's Ex-Partner, Dies At 30","Gordon -- who was raised by Brown's mother, singer Whitney Houston -- had been found liable for Brown's 2015 death.",2020-01-02
740,Former NBA Commissioner David Stern Dead At 77,Stern was the NBA’s longest-tenured commissioner. He was credited with transforming the league into an international powerhouse.,2020-01-01
741,Alabama Police Chief Responds To Viral Photo Of Officers' 'Homeless Quilt',"The Mobile Police Department issued an apology after two of its officers were photographed smiling and posing with a ""quilt"" of panhandling signs.",2019-12-31
742,Unvaccinated Seattle Students Could Be Barred From School In The New Year,Washington state has eliminated exemptions for the MMR vaccine on personal and philosophical grounds.,2019-12-30
743,Another Horse Dies At Santa Anita Park Ahead Of Its Opening Weekend,Truest Reward died during training just days before the racetrack's winter-spring meeting opening day.,2019-12-30
744,"Here Are Obama's Favorite Books, Movies And Shows From 2019","The former president released his 2019 lists of favorites, which included Phoebe Waller-Bridge's show ""Fleabag"" and Sally Rooney's ""Normal People.""",2019-12-29
745,"The Growing, Cultish Paranoia Behind 'Second Amendment Sanctuary' Counties",Sensible gun control measures? Not if these communities can help it.,2019-12-26
746,Supreme Court Lets Block On Federal Executions Remain,"The justices ruled against the Trump administration, which had asked the court to throw out an injunction temporarily halting the executions of four men on death row.",2019-12-07
747,Prestigious Breeders' Cup Marred By Yet Another Horse Death At Santa Anita,Mongolian Groom suffered a fatal injury during the $6 million race at the California track on Saturday. It was the 37th equine death at Santa Anita since December.,2019-11-03
748,"Demonstrators Hit Brooklyn Streets, Subway Station To Protest Police Brutality",The protest follows disturbing videos showing police allegedly punching teens on a transit platform and storming a subway car with guns drawn.,2019-11-02
749,Horse Death Toll At California's Santa Anita Park Reaches 34,"The Saturday death of a 3-year-old gelding occurred less than two weeks ahead of the Breeders’ Cup world championships, which the track is scheduled to host.",2019-10-20
750,Worker Injured In Deadly Hard Rock Hotel Collapse Now Faces Deportation,The Honduran is part of a lawsuit with other construction workers who are seeking damages for their injuries sustained from the tragic accident in New Orleans.,2019-10-19
751,2 People Shot After Gunman Opened Fire During N.H. Church Wedding Service,"Guests tackled the shooter to the ground after he shot two people including the presiding bishop, New Hampshire police said.",2019-10-13
752,"21-Year-Old Jailed For 10 Days After Oversleeping, Missing Jury Duty","A judge sentenced Deandre Somerville to the jail time, plus one year on probation and 150 hours of community service after he failed to serve on a jury Aug. 21.",2019-10-05
753,Four Homeless Men Killed In New York City Overnight Rampage,"A homeless man wielding a metal pipe killed four other homeless people and left another in critical condition, according to police.",2019-10-05
754,Ex-Dallas Cop Who Killed Neighbor: 'I Hate Myself Every Single Day',Amber Guyger is charged with murdering Botham Jean in 2018 when she entered the wrong apartment and allegedly mistook him for an intruder.,2019-09-28
755,Metallica Delays Tour As James Hetfield Returns To Rehab: 'We Are Devastated',The metal band is postponing eight shows in Australia and New Zealand as its frontman recovers from his battle with addiction.,2019-09-28
756,Fifth Death Linked To Storm That Walloped Houston Area,"Imelda, one of the wettest tropical cyclones in U.S. history, dumped more than 40 inches of rain in some spots.",2019-09-22
757,"Washington Woman Quits Job, Takes 57 Days To Find Her Lost Dog, Katie","""I never gave up, I never lost hope,"" said owner Carole King.",2019-09-22
758,Jeffrey Epstein Allegedly Paid Doctors To Medicate Underage Abuse Victims,A new report details how the deceased money manager controlled the minors he is accused of trafficking for sex.,2019-09-21
759,Activists Petition Gates Foundation Not To Honor India's Prime Minister,Actors Riz Ahmed and Jameela Jamil have also pulled out of the event in which an award is to be given to Narendra Modi despite India's crackdown in Kashmir.,2019-09-17
760,"Sonia Sotomayor, Angela Davis Among New Inductees Into Women's Hall Of Fame","The hall's Class of 2019 also includes actress Jane Fonda, attorney Gloria Allred and fashion designer Diane von Furstenberg.",2019-09-16
761,"Ric Ocasek, Frontman For Hitmakers The Cars, Dead At 75",The band was inducted into the Rock ‘n’ Roll Hall of Fame in 2018.,2019-09-16
762,OxyContin Maker Purdue Pharma Files For Bankruptcy Protection,"There are more than 2,000 lawsuits alleging the company helped fuel the deadly U.S. opioid epidemic.",2019-09-16
763,New York Gov. Andrew Cuomo Takes Executive Action To Ban Flavored E-Cigarettes,The move comes amid a national investigation into hundreds of cases of lung illness and six deaths associated with vaping.,2019-09-15
764,Dozens Of Anti-ICE Protesters Arrested During Sit-In At NYC Microsoft Store,The demonstrators were protesting Microsoft's business ties with U.S. Immigration and Customs Enforcement.,2019-09-15
765,Woman Was Buying Dinner For Homeless People When Taco Bell Kicked Them Out,"Shannon Gridley said the treatment she and her dinner guests faced at a Louisville Taco Bell was ""dehumanizing.""",2019-09-13
766,"Colorado State Won't Punish Students For Blackface, Citing First Amendment","Administrators said they won't take action against the students for their racist photo, pointing to freedom of expression.",2019-09-13
767,All 34 victims Of California Boat Fire ID'd,The scuba diving boat Conception burned and sank off Santa Cruz Island before dawn on Sept. 2.,2019-09-13
768,California Passes Bill To Stop Police From Using Facial Recognition On Body Cameras,Critics say the technology doesn't work properly on people with dark skin. The bill is now headed to Governor Gavin Newsom’s desk for his signature or a veto.,2019-09-13
769,Body Of Last Missing Victim Of California Boat Fire Recovered,"The Coast Guard also announced Wednesday that it had launched its highest-level marine casualty investigation into the fire, which left 34 people dead.",2019-09-12
770,Liberty University President Jerry Falwell Jr. Says He’s Target Of ‘Attempted Coup’,"Falwell, head of the nation’s most high-profile evangelical college, was among the earliest Christian conservatives to endorse Trump’s campaign.",2019-09-11
